Time spent on social media (Hours),Performance During Pandemic,Count
1,2,11
1,3,8
1,4,15
1,5,26
1,6,73
1,7,52
1,8,67
1,9,19
1,10,23
2,2,9
2,3,8
2,4,28
2,5,31
2,6,76
2,7,59
2,8,72
2,9,27
2,10,30
3,2,5
3,3,4
3,4,13
3,5,12
3,6,44
3,7,38
3,8,38
3,9,12
3,10,15
4,2,2
4,3,2
4,4,6
4,5,11
4,6,18
4,7,14
4,8,27
4,9,9
4,10,3
5,2,2
5,3,0
5,4,4
5,5,7
5,6,10
5,7,9
5,8,7
5,9,2
5,10,8
6,2,3
6,3,0
6,4,3
6,5,2
6,6,5
6,7,5
6,8,4
6,9,2
6,10,2
7,2,0
7,3,0
7,4,2
7,5,2
7,6,2
7,7,1
7,8,1
7,9,1
7,10,3
8,2,0
8,3,0
8,4,4
8,5,1
8,6,6
8,7,2
8,8,1
8,9,0
8,10,2
9,2,0
9,3,0
9,4,1
9,5,0
9,6,3
9,7,0
9,8,0
9,9,0
9,10,0
10,2,5
10,3,1
10,4,2
10,5,0
10,6,7
10,7,1
10,8,1
10,9,1
10,10,1
